year,indico_id,name,affiliation,country
2017,433345,Kurt Jung,University of Illinois at Chicago (US),US
2017,433345,Kurt Keys Hill,University of Colorado Boulder (US),US
2017,433345,Kyoichiro Ozawa,KEK,
2017,433345,Lais Ozelin De Lima Pimentel,University of Copenhagen (DK),DK
2017,433345,Larry McLerran,"Intitute for Nuclear Theory, University of Washington, Seattle, WA 98195",
2017,433345,Laura Fabbietti,Technische Universitaet Muenchen (DE),DE
2017,433345,Laura Havener,Columbia University (US),US
2017,433345,Leonardo Tinti,The Ohio State University,
2017,433345,Leonie Mueck,"Nature Research Group, Springer Nature",
2017,433345,Leticia Cunqueiro Mendez,Westfaelische Wilhelms-Universitaet Muenster (DE),DE
2017,433345,Li Yan,McGill University,
2017,433345,Li Yi,Yale University,
2017,433345,Liang He,Purdue University,
2017,433345,Liankun Zou,UC Riverside,
2017,433345,Lijia Jiang,Frankfurt Institute for Advanced Studies,
2017,433345,Lijuan Ruan,Brookhaven National Laboratory,
2017,433345,Lin Chen,Central China Normal University,
2017,433345,Liwen Wen,UCLA,
2017,433345,Long Zhou,USTC,
2017,433345,Ludwik Turko,University of Wroclaw (PL),PL
2017,433345,luis hernandez,"Instituto de Ciencias Nucleares, UNAM",
2017,433345,Madhukar Mishra,"Birla Institute of Technology and Science Pilani, Pilani Campus",
2017,433345,Maksym Zyzak,GSI,
2017,433345,Manan Shah,"PDPIAS, CHARUSAT",
2017,433345,Maneesha Sushama Pradeep,UIC,
2017,433345,Manuel Calderon de la Barca Sanchez,University of California Davis (US),US
2017,433345,Manuel Lorenz,University Frankfurt,
2017,433345,Maowu Nie,Shanghai Institute of Applied Physics (SINAP),
2017,433345,Marcelo Gameiro Munhoz,Universidade de Sao Paulo (BR),BR
2017,433345,Marco Van Leeuwen,Nikhef National institute for subatomic physics (NL),NL
2017,433345,Marcus Bluhm,University of Wroclaw,
2017,433345,Maria Paola Lombardo,INFN,
2017,433345,Marie Germain,"Subatech, IN2P3-CNRS (FR)",FR
2017,433345,Mark Mace,Stony Brook University,
2017,433345,Marlene Nahrgang,Subatech,
2017,433345,Marta Verweij,CERN,
2017,433345,Martin Rybar,Univ. Illinois at Urbana-Champaign (US),US
2017,433345,Martin Spousta,Charles University,
2017,433345,Martin L Purschke,Brookhaven National Laboratory (US),US
2017,433345,Marzia Rosati,Iowa State University,
2017,433345,Masaru Hongo,RIKEN iTHES,
2017,433345,Massimo Masera,University of Torino and INFN (IT),IT
2017,433345,Mateusz Dyndal,DESY,
2017,433345,Mateusz Ploskon,Lawrence Berkeley National Laboratory (US),US
2017,433345,Matthew Luzum,Universidade de Sao Paulo,
2017,433345,Mauricio Martinez Guerrero,North Caroline State University,
2017,433345,Maxim Konyushikhin,Wayne State University (US),US
2017,433345,Maxime Guilbaud,Rice University (US),US
2017,433345,maximilian attems,University of Barcelona,
2017,433345,Maximiliano Puccio,Universita e INFN Torino (IT),IT
2017,433345,Maya Shimomura,Nara Women's University (JP),JP
2017,433345,Mayank Singh,McGill University,
2017,433345,MD NASIM,"University of California, Los Angeles",
2017,433345,Meera Machado,University of Copenhagen,
2017,433345,Megan Connors,Georgia State University (US),US
2017,433345,Meijian Li,Iowa State University,
2017,433345,Meike Charlotte Danisch,Ruprecht-Karls-Universitaet Heidelberg (DE),DE
2017,433345,Mesut Arslandok,Ruprecht-Karls-Universitaet Heidelberg (DE),DE
2017,433345,Michael Lomnitz,Kent State University & Lawrence Berkeley National Lab.,
2017,433345,Michael Murray,The University of Kansas (US),US
2017,433345,Michael Oliver,Yale University (US),US
2017,433345,Michael Strickland,Kent State University,
2017,433345,Michael Tannenbaum,Brookhaven National Laboratory (US),US
2017,433345,Michael Weber,"Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)",AT
2017,433345,Michael (Felix) Clark,Columbia University (US),US
2017,433345,Michael Andreas Winn,Universite de Paris-Sud 11 (FR),FR
2017,433345,Michael William Phipps,Univ. Illinois at Urbana-Champaign (US),US
2017,433345,Michele Floris,CERN,
2017,433345,Michito Okai,Sophia University,
2017,433345,Miguel Arratia,UC Berkeley,
2017,433345,Miguel Angel Lopez-Ruiz,Indiana University,
2017,433345,Miguel Ángel Escobedo Espinosa,University of Jyväskylä,
2017,433345,Miki Sakaida,Osaka University,
2017,433345,Miklos Gyulassy,Lawrence Berkeley National Lab,
2017,433345,Milap Patel,Iowa State University,
2017,433345,Ming Li,"University of Minnesota, Twin Cities",
2017,433345,Ming Xiong Liu,Los Alamos National Laboratory,
2017,433345,Mingliang Zhou,State University of New York (US),US
2017,433345,Miroslav Šaur,Nuclear Physics Institute of the CAS,
2017,433345,Misha Stephanov,UIC,
2017,433345,Mohamad Tarhini,Universite de Paris-Sud 11 (FR),FR
2017,433345,Mohammad Nopoush,Kent State University,
2017,433345,Mohammad Ahmad Saleh,Wayne State University (US),US
2017,433345,Moritz Greif,University of Frankfurt,
2017,433345,Mubarak Alqahtani,Kent State University,
2017,433345,Murad Sarsour,Georgia State University,
2017,433345,Myunggeun Song,Yonsei University (KR),KR
2017,433345,Naoto Tanaka,University of Tsukuba (JP),JP
2017,433345,Naoto Tanji,Heidelberg University,
2017,433345,Nicholas Elsey,Wayne State University,
2017,433345,Nicole Apadula,Lawrence Berkeley National Lab. (US),US
2017,433345,Nicolo Jacazio,"Universita e INFN, Bologna (IT)",IT
2017,433345,NIHAR RANJAN SAHOO,Texas A&M University,
2017,433345,Niklas Mueller,Heidelberg University,
