Last Name	First Name	Affiliation	Country
Hills	Christopher	University of Liverpool	United Kingdom
Hippolyte	Boris	USIAS-IPHC-CERN	Switzerland
Hirano	Tetsufumi	Sophia University	Japan
Hoehne	Claudia	University Giessen	Germany
Hohlweger	Bernhard	TU Munich	Germany
Hong	Byungsik	Korea University	South Korea
Hongo	Masaru	RIKEN	Japan
Hornung	Sebastian	GSI Darmstadt (DE)	Germany
Horowitz	William	University of Cape Town	South Africa
Hosokawa	Ritsuya	University of Tsukuba (JP)	Japan
Hu	Qipeng	University of Colorado Boulder	United States
Huang	Hengfeng	School of Physics, Peking University	China
Huang	Huan	University of California, Los Angeles	United States
Huang	Jin	Brookhaven National Lab	United States
Huang	Shengli	Stony Brook University	United States
Huang	Xu-Guang	Fudan University	China
Huhn	Patrick	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Hulcher	Zachary	University of Cambridge	United States
Huovinen	Pasi	University of Wroclaw	Serbia
Hushnud	Hushnud	Saha Institute of Nuclear Physics	India
Hussain	Nur	Gauhati University	India
Iancu	Edmond	IPhT	France
Ilieva	Mariya	JINR	Bulgaria
Innocenti	Gian Michele	Massachusetts Inst. of Technology (US)	United States
Ishida	Pedro	Instituto de Física da Universidade de São Paulo	Brazil
Jacak	Barbara	University of California - Berkeley	United States
Jacazio	Nicolo	Universita e INFN, Bologna (IT)	Switzerland
Jacobs	Peter	Lawrence Berkeley National Laboratory	United States
JADHAV	MANOJ	IIT- Indian Institute of Technology (IN)	United States
Jaiswal	Amaresh	National Institute of Science Education and Research	India
Jalilian-Marian	Jamal	Baruch College	United States
Janik	Malgorzata Anna	Warsaw University of Technology (PL)	Poland
Jeon	Sangyong	McGill University	Canada
Ji	Yuanjing	University of Science and Technology of China	United States
Jia	Jiangyong	Stony brook Universty (US)	United States
Jiang	Kun	University of Science and Technology of China & Purdue University	China
Jiang	Ze Fang	CCNU	China
JIPA	Alexandru	University of Bucharest, Faculty of Physics	Romania
Johnson	Brant	APS Physical Review (L, E, AB); GSU/BNL/RBRC	United States
Jowett	John	CERN	Switzerland
Jung	Jerome	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Jung	Kurt	University of Illinois at Chicago (US)	United States
Kajimoto	Shiori	Osaka University	Japan
Kalinak	Peter	Slovak Academy of Sciences (SK)	Slovakia
Kalweit	Alexander Philipp	CERN	Switzerland
Kampfer	Burkhard	HZDR/Inst. Rad. Phys.	Germany
Kanakubo	Yuuka	Sophia University	Japan
Kapishin	Mikhail	Joint Institute for Nuclear Research, Dubna	Russia
Kapusta	Joseph	University of Minnesota	United States
Karczmarczyk	Przemyslaw	Warsaw University of Technology (PL)	France
Kardan	Behruz	IKF, Uni-Frankfurt	Germany
Karn	Prof Dr Santosh Kumar	PCCS, Greater Noida, NCR-Delhi, Dr APJ Abdul Kalam Technical Un	India
Karpenko	Iurii	SUBATECH Nantes / CNRS	France
Kashirin	Evgeny	NRNU MEPhI	Russia
Katz	Roland	University of São Paulo	Brazil
Kauder	Kolja	Wayne State University	United States
Kawana	Daichi	University of Tsukuba (JP)	Japan
Ke	Weiyao	Duke University	United States
Keane	Declan	Kent State University	United States
Kekelidze	Vladimir	Joint Institute for Nuclear Research	Russia
Kersting	Nina	Bielefeld University	Germany
Khachatryan	Vladimir	Stony Brook University	United States
Khatun	Anisa	Aligarh Muslim University (IN)	India
Khuntia	Arvind	Indian Institute of Technology Indore (IN)	India
Kikoła	Daniel	Faculty of Physics, Warsaw University of Technology	Poland
Kim	Beomkyu	Inha University	South Korea
Kim	Dong Jo	University of Jyvaskyla (FI)	Finland
Kim	Eun-Joo	Chonbuk National University	South Korea
Kim	Hyeonjoong	Yonsei University (KR)	South Korea
Kim	Hyunchul	Chonnam National University (KR)	South Korea
Kim	Yongsun	Univ. Illinois at Urbana Champaign (US)	South Korea
Kincses	Dániel	Eötvös Loránd University	Hungary
Kireyeu	Viktar	Joint Institute for Nuclear Research (RU)	Russia
Kisiel	Adam	Warsaw University of Technology (PL)	Poland
Klein	Carsten	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Klein-Boesing	Christian	Westfaelische Wilhelms-Universitaet Muenster (DE)	Germany
Klochkov	Viktor	Frankfurt Uni / GSI	Germany
Knichel	Michael Linus	CERN	Switzerland
Knospe	Anders Garritt	University of Houston (US)	United States
Koch	Volker	Lawrence Berkeley National Laboratory	United States
Koehler	Markus	Heidelberg University	Germany
Kolbe	I.	University of Cape Town (ZA)	South Africa
Kornakov	Georgy	TU Darmstadt	Germany
Kotov	Andrey	ITEP	Russia
Kramarik	Lukas	Czech Technical University (CZ)	Czechia
Kres	Ievgenii	University of Wuppertal	Germany
Krintiras	Georgios	Universite Catholique de Louvain (UCL) (BE)	United States
Krizkova Gajdosova	Katarina	University of Copenhagen (DK)	Czechia
Krouppa	Brandon	Kent State University	United States
Kruse	Anna-Lena	Bielefeld University	Germany
Krüger	Mario	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Kubera	Andrew	Ohio State University (US)	United States
Kucher	Inna	LLR, Palaiseau, France	France
Kugler	Andrej	Nuclear Physics Institute, Czech Acad. of Sciences (CZ)	Czechia
Kulathunga Mudiyanselage	Nalinda	University of Houston	United States
Kulinich	Yakov Petrovich	Univ. Illinois at Urbana Champaign (US)	United States
Kumar	Shyam	Ph.D. student at IIT Bombay, Mumbai, India	India
Kurgyis	Bálint	Eötvös Loránd University	Hungary
Kurkela	Eero Aleksi	CERN	Switzerland
Kwon	Jiyeon	Inha University	South Korea
Kähler	Philipp	Westfaelische Wilhelms-Universitaet Muenster (DE)	Germany
La Rocca	Paola	Universita e INFN, Catania (IT)	Italy
Lacey	Roy	Stony Brook University	United States
Lahiri	Anirban	Bielefeld University	Germany
Lai	Yue Shi	Lawrence Berkeley National Lab	United States
Lajoie	John	Iowa State University	United States
Lappi	Tuomas	University of Jyvaskyla	Finland
Lardeux	Antoine	University of Oslo (NO)	Norway
Larionov	Pavel	INFN e Laboratori Nazionali di Frascati (IT)	Italy
Lau	Pak Hang	MIT	Taiwan
Lea	Ramona	Universita e INFN Trieste (IT)	Italy
Lednicky	Richard	JINR Dubna	Russia
Lee	Kang Seog	Chonnam National University	South Korea
