Session/Category,Title,Speaker,Institute,Country
,Unveiling Critical Behavior in Rapidity Scans Using Cross-Cumulants for intermediate energy collision,Jianing Li,No affiliation,Unknown
,Restore baryon number fluctuations from light nuclei number fluctuations,Yi Heng Feng,No affiliation,Unknown
,Fluctuations and correlations of quark spin in hot and dense QCD matter,Hao-Lei Chen,Fudan University,Italy
,Anisotropic hydrodynamics for small collision systems,Shujun Zhao,No affiliation,Unknown
,First open charm measurement in heavy ion collisions at SPS energies with NA61/SHINE,Mateusz Ludwik Bajda,Jagiellonian University (PL),PL
,Status of the CBM RICH detector project at FAIR $^∗$,Christian Pauly,Wuppertal University,Italy
,Lighting up the Photon Wigner Distribution via Dilepton Productions,Yu Shi,Ecole Polytechnique,Switzerland
,Resolving the $C_{4}${4} Sign Change Puzzle in Pb-Pb Collisions,Aman Dimri,Stony Brook University (US),USA
,Momentum broadening and kinetic equilibration of heavy quarks in strongly coupled N=4 Yang-Mills theory,Bruno Scheihing,"KITP, University of California, Santa Barbara",Italy
,Momentum broadening and kinetic equilibration of heavy quarks in strongly coupled N=4 Yang-Mills theory,Krishna Rajagopal,Massachusetts Inst. of Technology (US),USA
,Momentum broadening and kinetic equilibration of heavy quarks in strongly coupled N=4 Yang-Mills theory,Urs Wiedemann,CERN,Switzerland
,"Insights into the interplay of momentum, multiplicity and the speed of sound in heavy-ion collisions",Jean-Francois Paquet,Vanderbilt University,Germany
,Thermodynamic geometry of the QCD phase transition,Fabrizio Murgana,"Università degli studi di Catania, Goethe Universitat Frankfurt",Germany
,Heavy Hadrons production by coalescence along a system size scan from AA down to pp collisions,Vincenzo Minissale,No affiliation,Unknown
,"Exploring proton correlations: femtoscopy across baryon numbers B=1,2,3",Juan Torres-Rincon,Universitat de Barcelona,Germany
,How inelastic scatterings affect the adiabatic picture of prehydrodynamic attractors,Bruno Scheihing,"KITP, University of California, Santa Barbara",Italy
,How inelastic scatterings affect the adiabatic picture of prehydrodynamic attractors,Krishna Rajagopal,Massachusetts Inst. of Technology (US),USA
,How inelastic scatterings affect the adiabatic picture of prehydrodynamic attractors,Rachel Steinhorst,Massachusetts Institute of Technology,USA
,No-quenching baseline for energy loss signals in oxygen-oxygen collisions,Jannis Gebhard,No affiliation,Unknown
,Jet substructure induced anisotropic flow,Adam Takacs,Heidelberg University,Germany
,Jet substructure induced anisotropic flow,Aleksas Mazeliauskas,Heidelberg University (DE),Germany
,Jet substructure induced anisotropic flow,Giuliano Giacalone,No affiliation,Unknown
,Jet substructure induced anisotropic flow,Lea Bartels,Heidelberg University,Germany
,Jet substructure induced anisotropic flow,Luyao Fabian Zhou,ITP Heidelberg,Germany
,Comparisons and Predictions for Collisions of deformed 238U nuclei at $\sqrt{s_{NN}} = 193$ GeV,Sangyong Jeon,No affiliation,Unknown
,Gluon to $q\bar q$ antenna in anisotropic QCD matter,João Martins da Silva,LIP - Lisboa / ULisboa - IST,LIP - Lisboa / ULisboa - IST
,“Transverse hydrodynamization” in high-energy nuclear collisions,Chandrodoy Chattopadhyay,North Carolina State University,Italy
,Dense matter in the parity-doublet model,Juergen Eser,No affiliation,Unknown
,How spatial gradients affect the thermalisation of the QGP in heavy-ion collisions,Uri Sharell,University of Oxford,Italy
,Light nuclei production in ultra-relativistic heavy-ion collisions at LHC,Arun Kumar Yadav,Department of Atomic Energy (IN),India
,Studying saturation dynamics and hotspot fluctuations in ultrarelativistic heavy-ion collisions with neural networks,Harri Niemi,University of Jyväskylä,Italy
